Wavelength (nm),Blank1,F564,F565,F576,F577,F570,F571,F600,F568,F569,F582,F603,F603b
756,-0.00287,-0.004211,-0.002091,-0.001133,0.002539,-0.001736,-0.000029,0.001425,-0.000251,-0.001532,0.002571,0.000435,0.001678
755.5,0.001696,0.00081,0.00235,0.002986,0.001001,-0.003629,-0.001649,0.000567,-0.000348,-0.000969,0.002257,-0.000089,0.001756
755,-0.000783,-0.001517,0.000094,0.004718,0.002586,0.001291,0.003475,-0.000945,0.002269,0.000222,0.00283,-0.000126,-0.000004
754.5,0.00125,0.00022,-0.001625,0.002868,0.002642,0.001517,0.002696,0.002651,-0.002414,-0.003702,0.002028,0.000551,0.000741
754,0.001719,0.000186,0.000499,-0.000822,-0.000528,0.002082,0.00247,0.000567,0.002539,0.000384,-0.000728,0.000696,-0.001338
753.5,-0.000035,0.000248,-0.000125,-0.000743,-0.001328,0.003573,0.001771,0.002912,0.002433,-0.000719,0.001758,-0.000855,-0.001057
753,0.00191,0.004029,0.001018,0.001039,0.000438,0.002861,0.002425,-0.000711,-0.000826,-0.001971,0.001445,-0.001863,0.002537
752.5,-0.003505,-0.000762,0.000089,0.003311,0.001886,-0.001796,-0.000992,0.000511,-0.001107,-0.002315,0.002875,0.003657,0.003311
752,-0.002248,-0.000238,0.001445,0.003223,0.002791,0.003559,0.00188,-0.001057,0.001764,-0.000748,0.002147,0.00004,0.006489
751.5,-0.000385,-0.001418,-0.000816,0.002526,-0.000219,0.003638,0.000617,-0.001342,-0.000439,0.001419,-0.002137,-0.001079,0.000386
751,0.003156,0.002095,-0.002368,0.003848,0.001072,0.001841,-0.000526,0.000671,-0.001488,-0.001698,0.001546,0.003528,0.0039
750.5,0.003407,0.003294,0.001352,0.005154,0.00489,0.002974,0.001384,0.00366,-0.00166,-0.002095,0.00127,0.000902,0.001771
750,-0.001286,-0.000703,-0.002188,-0.000776,0.002207,0.001921,0.000537,-0.001587,-0.000001,0.001082,0.000971,0.001477,0.001904
749.5,-0.000424,0.001949,-0.001507,0.003754,0.002267,0.003468,0.002188,-0.000954,0.001016,0.001324,-0.000464,-0.001179,0.000584
749,-0.004257,-0.001232,-0.004335,-0.002434,-0.000834,0.002085,0.002802,-0.000925,-0.001997,0.000607,0.003708,0.001039,0.003249
