Wavelength (nm),Blank1,F532,F533,F526,F527,F538,F539,F534,F535,F540,F541,F528,F529,F610,F611,F536,F537,F554,F555,F556,F557
708.5,0.001142,-0.000965,-0.004894,-0.001484,0.002914,0.00018,0.000543,-0.000515,-0.00082,-0.001308,0.000632,-0.001176,0.004132,0.000187,-0.001203,-0.000186,-0.000513,-0.000476,0.000147,-0.000016,0.027478
708,-0.000732,-0.00201,-0.005692,-0.000764,0.000061,0.000619,-0.001418,-0.000279,-0.001092,-0.001568,0.000929,-0.000145,0.005463,-0.000261,-0.002331,0.000412,-0.001305,-0.000981,0.00001,-0.000783,0.02612
707.5,-0.000741,0.00152,-0.004022,0.002654,0.003374,0.000594,0.000824,0.000414,0.000354,-0.002592,-0.000889,-0.001407,0.003325,-0.002074,-0.002142,0.001295,0.001929,-0.001007,0.000418,0.000036,0.026535
707,-0.000374,0.000865,-0.00529,0.000784,0.000037,-0.001844,-0.001214,0.000368,-0.001653,-0.002166,-0.000499,-0.002318,0.002811,0.000368,-0.00168,0.00125,-0.000235,-0.001412,0.000093,0.000016,0.028191
706.5,-0.001383,-0.000644,-0.005088,0.00138,0.002027,-0.000679,0.000197,0.00155,0.001603,0.000617,0.002592,-0.00024,0.002499,-0.001972,-0.002881,0.000092,-0.001803,-0.00115,-0.000423,0.000572,0.028354
706,-0.000442,0.000648,-0.003744,-0.00005,0.002988,0.000308,-0.002323,0.000806,-0.0003,-0.000306,-0.000519,-0.00313,0.001004,0.001924,-0.002435,0.000999,0.00005,-0.001036,0.001065,0.00055,0.031215
705.5,-0.002019,-0.001583,-0.00566,-0.001247,-0.000745,0.001557,0.000783,0.001151,-0.003273,-0.00214,0.000249,-0.002493,0.002295,-0.002041,-0.003086,0.003721,0.002985,-0.000351,0.000735,0.000078,0.027434
705,-0.000777,-0.000458,-0.007052,0.00117,0.001324,-0.000402,-0.002623,0.000708,-0.000675,-0.001152,0.002558,-0.003196,0.00285,0.000055,-0.000859,0.002039,0.004045,-0.001325,0.001968,-0.002045,0.027775
704.5,-0.001,0.000475,-0.004394,-0.000835,0.00129,-0.000033,-0.000969,0.000511,-0.001601,0.003311,0.001612,0.00029,0.004902,0.00061,-0.001213,0.000792,0.000551,-0.000891,-0.0003,-0.000294,0.03
704,0.000212,-0.000157,-0.004833,-0.001667,0.002276,0.001424,0.000752,-0.001367,0.000159,-0.000908,0.000099,-0.001761,0.00243,-0.000967,-0.003792,0.000263,0.001701,0.000647,0.001763,-0.00142,0.027641
703.5,-0.001496,-0.000399,-0.005714,-0.002032,0.000225,0.002185,0.00198,-0.0032,-0.00203,-0.00266,-0.000919,-0.003479,0.001863,-0.000961,-0.001289,0.000132,0.000298,0.000177,0.000444,0.000681,0.02955
703,-0.000042,-0.002946,-0.005626,0.000894,0.002489,-0.000628,-0.001484,0.000268,0.000258,-0.000648,0.001092,-0.003437,0.003262,-0.004783,-0.003613,-0.000817,0.000206,-0.002485,-0.000465,-0.001951,0.026737
702.5,0.000904,-0.000217,-0.003388,0.000983,0.001939,-0.00074,-0.001105,-0.000477,-0.001329,0.000113,-0.000894,-0.001191,0.002367,-0.002914,-0.002182,0.001314,0.001888,-0.003044,-0.000141,-0.000185,0.028025
