Wavelength (nm),Blank1,F503,F502,F510,F511,F506,F507,F518,F519,F514,F515,F521,F520,F517,F516
728,0.000589,-0.000267,-0.002036,-0.000886,0.004239,0.003714,-0.000146,0.00249,-0.000004,-0.000473,-0.00105,0.000747,0.000827,-0.00046,0.000814
727.5,-0.003024,-0.00162,-0.001812,-0.00081,0.002134,0.0027,-0.000816,-0.000141,-0.002465,0.002057,-0.000084,0.000157,0.000847,-0.001307,0.001976
727,0.000942,0.000145,0.001572,-0.000727,0.001366,0.002507,-0.001177,-0.000462,0.001145,0.001075,0.001797,0.001414,0.000766,0.000483,0.001424
726.5,-0.001126,-0.00164,0.000877,-0.000021,0.001387,0.005291,0.000431,-0.000322,-0.00008,0.001292,0.000393,0.000116,-0.000442,0.000737,0.001667
726,-0.00013,-0.000486,-0.000739,-0.003003,0.000845,0.003578,-0.001424,-0.000188,-0.001597,0.003711,0.002072,0.001107,0.00043,-0.001239,-0.000056
725.5,-0.001732,-0.0007,-0.000945,0.000658,0.0034,0.002421,-0.002123,-0.003926,-0.003123,-0.000547,0.000322,0.000282,0.000399,-0.000116,0.001001
725,0.000444,-0.000491,-0.00165,-0.003259,0.001195,0.002615,-0.000109,-0.000449,0.000446,-0.000267,0.000611,-0.002557,-0.001798,-0.00063,0.001152
724.5,-0.00098,-0.00094,-0.000974,0.002195,0.004315,0.003126,0.001164,0.000194,0.001063,0.000124,0.000091,-0.001438,-0.002847,-0.001743,-0.000163
724,-0.000849,-0.001155,-0.001825,-0.001287,0.000827,0.004981,0.000054,-0.000355,-0.000782,-0.000077,-0.001331,0.000371,0.000818,0.000981,0.001472
723.5,0.001443,0.001696,-0.001885,-0.0017,0.001684,0.002443,-0.001722,0.000732,-0.000587,-0.000045,0.000019,-0.000146,-0.001229,-0.000207,-0.000475
723,0.000042,-0.00185,0.001164,-0.002811,0.002867,0.001111,-0.001568,-0.000693,0.001618,-0.001941,-0.002322,-0.000584,0.001702,-0.001948,0.001322
722.5,-0.001705,0.000692,-0.001732,0.000109,0.002525,0.002651,0.000047,-0.000732,-0.000495,0.000228,0.000142,-0.000052,0.000415,-0.000277,0.000809
722,-0.000796,0.002199,-0.000342,-0.002513,0.003351,0.004652,-0.000196,-0.001596,-0.000912,0.002978,0.001451,0.000819,0.000598,-0.000829,0.001783
721.5,0.000926,0.000886,-0.000839,-0.001454,0.000937,0.004089,-0.000393,-0.001413,0.000275,-0.001245,0.001224,-0.000321,-0.000684,-0.002036,0.000891
721,0.002196,0.001209,0.00165,0.00042,0.003956,0.004329,0.000377,-0.001214,0.000436,0.001129,-0.000515,-0.000501,0.000233,0.001393,-0.000286
720.5,-0.001304,0.00174,0.001253,-0.001606,0.001,0.004657,-0.000655,-0.001668,-0.001566,-0.001194,-0.000013,-0.001722,-0.000467,0.001153,0.000143
720,-0.000373,-0.00136,-0.002786,0.00064,0.002568,0.001817,-0.000118,0.002081,0.00101,0.001114,0.001073,0.000468,0.000871,0.000439,-0.000218
719.5,0.001711,0.002438,0.000334,-0.001253,0.00198,0.002595,-0.001909,-0.000111,0.000544,0.000613,-0.001499,-0.001189,-0.000951,-0.000378,0.000169
