Wavelength (nm),Blank1,F542,F543,F546,F547,F560,F561,F552,F553,F558,F559,F572,F573,F574,F575,F580,F581,F599,F597
761.5,0.000003,0.000336,0.001488,0.00196,0.000477,0.003404,0.004134,0.003296,0.002932,-0.001069,-0.000308,-0.001235,-0.001022,-0.000289,-0.000079,0.002077,0.00057,0.001791,0.00285
761,-0.001221,-0.001843,-0.002136,0.003127,-0.001612,-0.000074,-0.002687,0.002663,0.002382,-0.001108,-0.000466,0.000958,-0.000704,0.002035,0.002267,0.002178,0.000719,-0.000137,0.001505
760.5,0.001484,0.000773,0.000797,0.002067,-0.00192,0.004568,0.001468,-0.001457,-0.000724,-0.000292,-0.000104,-0.000251,-0.002553,0.003862,0.002425,-0.001421,-0.000712,0.000636,0.000368
760,0.002534,-0.000987,-0.001817,0.002893,0.000628,0.002276,0.001791,-0.001261,-0.001714,-0.003703,-0.003316,-0.000352,-0.002625,-0.002093,-0.000812,0.002305,-0.000524,0.000841,-0.000567
759.5,0.000724,0.000575,0.000567,0.001394,0.00124,0.000501,0.000821,0.002065,0.001751,-0.002696,-0.004475,0.000192,-0.00283,0.003136,0.000507,0.002961,0.002302,-0.001417,0.001296
759,-0.000875,0.002153,-0.001103,0.002043,0.002184,-0.002612,-0.002138,-0.003053,-0.002969,0.002534,0.002409,0.001642,0.001105,-0.002376,0.002241,0.00072,0.000585,-0.004787,-0.003171
758.5,-0.00031,0.001604,-0.00203,0.001077,0.001617,0.001613,0.002223,-0.00101,-0.001128,0.000403,0.001026,0.002512,-0.001154,0.001589,-0.000396,0.003215,0.001953,-0.000083,-0.001126
758,0.001907,0.000445,-0.002189,0.000875,-0.000576,0.004063,0.00242,0.000568,-0.001243,-0.000477,0.000089,0.001767,-0.000611,0.003144,0.000848,-0.000008,0.000871,-0.000476,0.000228
757.5,-0.001065,-0.001089,-0.003298,-0.000265,-0.000412,0.000755,0.000331,0.002042,-0.001218,0.000938,0.001675,0.003364,0.003336,-0.001895,-0.004181,-0.001142,-0.000439,0.000725,0.002374
757,0.000844,0.001901,-0.001011,0.000513,0.001146,0.001458,0.001108,0.000456,0.000094,-0.00118,-0.000003,0.002913,0.000898,0.001459,0.000384,-0.00054,-0.000167,0.001075,0.002011
756.5,-0.002348,-0.003098,-0.003412,-0.000479,-0.002847,-0.000473,0.001941,-0.000854,-0.00192,0.001348,0.001736,0.002307,0.001719,-0.000095,0.00132,-0.001768,0.001547,0.000694,-0.000588
756,0.001749,0.002137,0.002889,0.000667,-0.003217,0.000958,-0.001,-0.001855,-0.001298,0.001462,-0.000611,0.000408,-0.002464,0.000426,-0.000276,-0.001098,-0.000118,-0.003518,-0.00092
755.5,-0.000397,0.000945,0.00073,0.002044,-0.000351,0.000439,-0.001128,-0.000054,-0.001773,-0.001234,0.00041,0.00203,-0.000968,0.000458,0.001324,0.001266,0.000412,0.000739,0.001457
755,0.002215,0.004057,0.000465,0.000331,-0.000632,0.002015,-0.000866,-0.000871,0.000241,-0.000069,0.001492,0.004288,0.000921,0.001923,0.001069,0.005475,0.001564,0.003683,0.003688
754.5,-0.001222,0.0015,0.001341,-0.003036,-0.001138,-0.002109,-0.000619,0.000865,-0.001334,-0.002016,-0.001517,0.000624,-0.001534,0.002078,0.001826,0.004709,0.005209,0.00123,-0.001068
754,0.001928,0.003042,0.004369,-0.000192,-0.001041,-0.000612,0.001275,-0.001097,0.000072,-0.001839,0.000587,0.00228,-0.001394,0.001663,0.001723,0.002662,0.001422,0.001145,0.000914
753.5,0.002067,0.000715,-0.000487,0.002115,0.000677,-0.000215,0.001732,-0.003174,0.000189,-0.001146,0.000713,0.001798,0.001775,0.000582,0.000874,-0.000802,-0.001087,-0.000474,0.001589
753,0.002367,0.000498,-0.000145,-0.000848,0.004349,-0.00134,-0.001871,0.000604,-0.004105,0.001468,-0.001092,0.0009,-0.000079,-0.002351,-0.000409,0.004527,0.00075,-0.001372,-0.000603
752.5,-0.001619,0.001367,-0.002822,-0.00267,-0.001969,0.000948,0.002589,0.001041,0.000928,-0.00054,0.000676,0.000091,-0.001008,0.000961,0.000198,0.000809,0.001523,-0.002955,-0.000438
752,0.000375,-0.001869,-0.001885,0.003531,0.002537,0.001968,0.000371,-0.001503,-0.000723,0.000086,-0.000876,0.002324,0.002675,0.001224,0.000135,0.00056,0.001115,0.00149,0.000917
751.5,-0.000654,0.002682,-0.000685,-0.00251,-0.002283,0.000325,0.000654,0.00004,-0.001342,0.002775,0.003146,0.001714,0.004653,0.000481,0.000256,0.002588,0.001686,0.003239,0.002364
751,-0.000502,-0.002027,-0.004568,-0.002674,-0.00036,-0.00007,-0.000906,0.000074,-0.001875,0.001252,-0.00284,0.000876,0.00114,-0.00077,-0.00085,0.003,-0.001955,0.001449,0.002166
750.5,0.001932,0.003263,0.002612,-0.000883,-0.002859,0.002768,0.000779,-0.002851,-0.001747,-0.003849,-0.00219,0.003406,0.000824,0.00271,0.000304,0.003658,0.002598,0.00009,-0.001256
